,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,AB002632,Unassigned,Unassigned,Unassigned,0_0,Clustered,2,VC_0_0,2,1.0,0.0,0.0,0,0,0,1.0
1,AB009866,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
2,AB012573,Unassigned,Unassigned,Unassigned,16_0,Clustered,12,VC_16_0,12,0.668,1.0,0.668,0,0,0,1.0
3,AB012574,Unassigned,Unassigned,Unassigned,16_0,Clustered,12,VC_16_0,12,0.668,1.0,0.668,0,0,0,1.0
4,AB016282,Unassigned,Unassigned,Unassigned,20_0,Clustered,4,VC_20_0,4,0.7282,0.99994645,0.7282,0,0,0,1.0
5,AB036666,Unassigned,Unassigned,Unassigned,25_0,Clustered,12,VC_25_0,12,0.5804,1.0,0.5804,0,0,0,1.0
6,AB043678,Unassigned,Unassigned,Unassigned,17_0,Clustered,9,VC_17_0,9,0.6975,1.0,0.6975,0,0,0,1.0
7,AB043679,Unassigned,Unassigned,Unassigned,17_0,Clustered,9,VC_17_0,9,0.6975,1.0,0.6975,0,0,0,1.0
8,AB044554,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
9,AB045978,Unassigned,Unassigned,Unassigned,9_0,Clustered,43,VC_9_0,43,0.8225,1.0,0.8225,0,0,0,1.0
10,AB063393,Unassigned,Unassigned,Unassigned,30_0,Clustered,2,VC_30_0,2,1.0,0.0,0.0,0,0,0,1.0
11,AB102868,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
12,AB231700,Unassigned,Unassigned,Unassigned,43_0,Clustered,2,VC_43_0,2,1.0,0.0,0.0,0,0,0,1.0
13,AB243556,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
14,AB259123,Unassigned,Unassigned,Unassigned,53_0,Clustered,6,VC_53_0,6,0.9826,0.9909558,0.9737,0,0,0,1.0
15,AB259124,Unassigned,Unassigned,Unassigned,54_0,Clustered,6,VC_54_0,6,0.9682,0.99950104,0.9677,0,0,0,1.0
16,AB276040,Unassigned,Unassigned,Unassigned,1_0,Clustered,27,VC_1_0,27,0.613,1.0,0.613,0,0,0,1.0
17,AB285204,Unassigned,Unassigned,Unassigned,38_0,Clustered,10,VC_38_0,10,0.2088,1.0,0.2088,0,0,0,1.0
18,AB334720,Unassigned,Unassigned,Unassigned,64_0,Clustered,12,VC_64_0,12,0.7635,1.0,0.7635,0,0,0,1.0
19,AB334721,Unassigned,Unassigned,Unassigned,64_0,Clustered,12,VC_64_0,12,0.7635,1.0,0.7635,0,0,0,1.0
20,AB362338,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
21,AB366653,Unassigned,Unassigned,Unassigned,70_3,Clustered/Singleton,1,VC_70_3,1,0.0,0.0,0.0,0,0,0,1.0
22,AB370205,Unassigned,Unassigned,Unassigned,12_0,Clustered,33,VC_12_0,33,0.4632,1.0,0.4632,0,0,0,1.0
23,AB370268,Unassigned,Unassigned,Unassigned,13_1,Clustered,21,VC_13_1,21,0.2401,1.0,0.2401,0,0,0,0.9095
24,AB374228,Unassigned,Unassigned,Unassigned,6_0,Clustered,25,VC_6_0,25,0.9568,1.0,0.9568,0,0,0,1.0
25,AB426868,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
26,AB434711,Unassigned,Unassigned,Unassigned,53_0,Clustered,6,VC_53_0,6,0.9826,0.9909558,0.9737,0,0,0,1.0
27,AB451219,Unassigned,Unassigned,Unassigned,73_0,Clustered,24,VC_73_0,24,0.5867,1.0,0.5867,0,0,0,1.0
28,AB472900,Unassigned,Unassigned,Unassigned,81_0,Clustered,19,VC_81_0,19,0.9676,1.0,0.9676,0,0,0,1.0
29,AB560486,Unassigned,Unassigned,Unassigned,82_0,Clustered,91,VC_82_0,91,0.7898,1.0,0.7898,0,0,0,0.7724
30,AB572858,Unassigned,Unassigned,Unassigned,16_0,Clustered,12,VC_16_0,12,0.668,1.0,0.668,0,0,0,1.0
31,AB597179,Unassigned,Unassigned,Unassigned,89_0,Clustered,4,VC_89_0,4,0.3563,0.99996596,0.3562,0,0,0,1.0
32,AB605730,Unassigned,Unassigned,Unassigned,93_0,Clustered,2,VC_93_0,2,0.1148,0.90897298,0.1043,0,0,0,1.0
33,AB609718,Unassigned,Unassigned,Unassigned,98_0,Clustered,22,VC_98_0,22,0.5508,1.0,0.5508,0,0,0,1.0
34,AB626962,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
35,AB626963,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
36,AB647160,Unassigned,Unassigned,Unassigned,106_0,Clustered,32,VC_106_0,32,0.8828,1.0,0.8828,0,0,0,1.0
37,AB712291,Unassigned,Unassigned,Unassigned,115_0,Clustered,33,VC_115_0,33,0.9493,1.0,0.9493,0,0,0,1.0
38,AB716666,Unassigned,Unassigned,Unassigned,118_0,Clustered,66,VC_118_0,66,0.9514,1.0,0.9514,0,0,0,1.0
39,AB720063,Unassigned,Unassigned,Unassigned,74_0,Clustered,9,VC_74_0,9,0.5407,1.0,0.5407,0,0,0,1.0
40,AB720064,Unassigned,Unassigned,Unassigned,122_0,Clustered,13,VC_122_0,13,0.9996,0.99919482,0.9988,0,0,0,1.0
41,AB731695,Unassigned,Unassigned,Unassigned,106_0,Clustered,32,VC_106_0,32,0.8828,1.0,0.8828,0,0,0,1.0
42,AB746912,Unassigned,Unassigned,Unassigned,124_0,Clustered,3,VC_124_0,3,0.7092,0.98422987,0.698,0,0,0,1.0
43,AB757800,Unassigned,Unassigned,Unassigned,123_0,Clustered,9,VC_123_0,9,0.9978,0.97977959,0.9776,0,0,0,1.0
44,AB757801,Unassigned,Unassigned,Unassigned,123_0,Clustered,9,VC_123_0,9,0.9978,0.97977959,0.9776,0,0,0,1.0
45,AB767244,Unassigned,Unassigned,Unassigned,126_0,Clustered,3,VC_126_0,3,0.1127,0.99650333,0.1123,0,0,0,1.0
46,AB775548,Unassigned,Unassigned,Unassigned,130_0,Clustered,16,VC_130_0,16,0.9137,1.0,0.9137,0,0,0,1.0
47,AB775549,Unassigned,Unassigned,Unassigned,137_0,Clustered,19,VC_137_0,19,0.5424,1.0,0.5424,0,0,0,1.0
48,AB828698,Unassigned,Unassigned,Unassigned,54_0,Clustered,6,VC_54_0,6,0.9682,0.99950104,0.9677,0,0,0,1.0
49,AB853330,Unassigned,Unassigned,Unassigned,153_12,Clustered,3,VC_153_12,3,0.009,0.91643445,0.0083,0,0,0,1.0
50,AB853331,Unassigned,Unassigned,Unassigned,153_20,Clustered/Singleton,1,VC_153_20,1,0.0,0.0,0.0,0,0,0,1.0
51,AB863625,Unassigned,Unassigned,Unassigned,163_0,Clustered,3,VC_163_0,3,0.5573,0.99621375,0.5552,0,0,0,1.0
52,AB897757,Unassigned,Unassigned,Unassigned,167_8,Clustered,4,VC_167_8,4,0.0485,0.79893639,0.0388,0,0,0,1.0
53,AB903967,Unassigned,Unassigned,Unassigned,153_13,Clustered/Singleton,1,VC_153_13,1,0.0,0.0,0.0,0,0,0,1.0
54,AB910392,Unassigned,Unassigned,Unassigned,170_0,Clustered,3,VC_170_0,3,0.686,0.99670665,0.6838,0,0,0,1.0
55,AB910393,Unassigned,Unassigned,Unassigned,177_0,Clustered,2,VC_177_0,2,0.9311,0.71428571,0.6651,0,0,0,1.0
56,AB910602,Unassigned,Unassigned,Unassigned,179_0,Clustered,5,VC_179_0,5,0.7102,0.99774779,0.7086,0,0,0,1.0
57,AB920995,Unassigned,Unassigned,Unassigned,73_0,Clustered,24,VC_73_0,24,0.5867,1.0,0.5867,0,0,0,1.0
58,AB930182,Unassigned,Unassigned,Unassigned,92_3,Clustered,19,VC_92_3,19,0.3839,1.0,0.3839,0,0,0,0.807
59,AB931172,Unassigned,Unassigned,Unassigned,54_0,Clustered,6,VC_54_0,6,0.9682,0.99950104,0.9677,0,0,0,1.0
60,AB937974,Unassigned,Unassigned,Unassigned,53_0,Clustered,6,VC_53_0,6,0.9826,0.9909558,0.9737,0,0,0,1.0
61,AB971354,Unassigned,Unassigned,Unassigned,196_0,Clustered,13,VC_196_0,13,0.9973,0.99647604,0.9938,0,0,0,1.0
62,AB981169,Unassigned,Unassigned,Unassigned,1_0,Clustered,27,VC_1_0,27,0.613,1.0,0.613,0,0,0,1.0
63,AB981170,Unassigned,Unassigned,Unassigned,53_0,Clustered,6,VC_53_0,6,0.9826,0.9909558,0.9737,0,0,0,1.0
64,AB983711,Unassigned,Unassigned,Unassigned,73_0,Clustered,24,VC_73_0,24,0.5867,1.0,0.5867,0,0,0,1.0
65,AC171169,Unassigned,Unassigned,Unassigned,198_11,Clustered/Singleton,1,VC_198_11,1,0.0,0.0,0.0,0,0,0,1.0
66,ACSJ01000017,Unassigned,Unassigned,Unassigned,205_0,Clustered/Singleton,1,VC_205_0,1,0.0,0.0,0.0,0,0,0,1.0
67,AF009630,Unassigned,Unassigned,Unassigned,214_0,Clustered,102,VC_214_0,102,0.4051,1.0,0.4051,0,0,0,0.7868
68,AF011378,Unassigned,Unassigned,Unassigned,214_0,Clustered,102,VC_214_0,102,0.4051,1.0,0.4051,0,0,0,0.7868
69,AF020713,Unassigned,Unassigned,Unassigned,96_3,Clustered/Singleton,1,VC_96_3,1,0.0,0.0,0.0,0,0,0,1.0
70,AF022214,Unassigned,Unassigned,Unassigned,224_1,Clustered,17,VC_224_1,17,0.342,1.0,0.342,0,0,0,1.0
71,AF059242,Unassigned,Unassigned,Unassigned,196_0,Clustered,13,VC_196_0,13,0.9973,0.99647604,0.9938,0,0,0,1.0
72,AF059243,Unassigned,Unassigned,Unassigned,196_0,Clustered,13,VC_196_0,13,0.9973,0.99647604,0.9938,0,0,0,1.0
73,AF063097,Unassigned,Unassigned,Unassigned,56_0,Clustered,60,VC_56_0,60,0.94,1.0,0.94,0,0,0,1.0
74,AF065411,Unassigned,Unassigned,Unassigned,238_0,Clustered,2,VC_238_0,2,0.9279,0.33333333,0.3093,0,0,0,1.0
75,AF083977,Unassigned,Unassigned,Unassigned,253_0,Clustered,9,VC_253_0,9,0.6516,1.0,0.6516,0,0,0,1.0
76,AF085222,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
77,AF115102,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
78,AF115103,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
79,AF125163,Unassigned,Unassigned,Unassigned,6_0,Clustered,25,VC_6_0,25,0.9568,1.0,0.9568,0,0,0,1.0
80,AF125520,Unassigned,Unassigned,Unassigned,44_1,Clustered,35,VC_44_1,35,0.4561,1.0,0.4561,0,0,0,1.0
81,AF133242,Unassigned,Unassigned,Unassigned,282_0,Clustered,2,VC_282_0,2,1.0,0.0,0.0,0,0,0,1.0
82,AF145054,Unassigned,Unassigned,Unassigned,258_0,Clustered,121,VC_258_0,121,0.7413,1.0,0.7413,0,0,0,0.9986
83,AF155037,Unassigned,Unassigned,Unassigned,283_0,Clustered,3,VC_283_0,3,1.0,0.0,0.0,0,0,0,1.0
84,AF157835,Unassigned,Unassigned,Unassigned,32_0,Clustered,10,VC_32_0,10,0.5276,1.0,0.5276,0,0,0,1.0
