id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
TC42_NODE_39_length_343696_cov_85.432501_fragment_1	0	1	199914	1	100	100%
TC28_NODE_27_length_255358_cov_193.026031_fragment_1	1	1	124551	1	100	100%
TC11_NODE_20_length_389567_cov_2.337559_fragment_1	2	1	119091	1	100	100%
TC11_NODE_20_length_389567_cov_2.337559_fragment_3	3	1	115353	1	100	100%
TC4_NODE_2_length_1431188_cov_647.988816_fragment_8_1	4	1	97249	1	100	100%
TC6_NODE_57_length_172417_cov_20.278443_fragment_2	5	1	95487	1	100	100%
TC1_NODE_134_length_224039_cov_57.671326_fragment_1_1	6	1	91832	1	100	100%
TC40_NODE_8_length_382506_cov_115.987729_fragment_2	7	1	91057	1	100	100%
TC44_NODE_53_length_317135_cov_78.310213_fragment_1_1	8	1	89273	1	100	100%
TC9_NODE_24_length_636103_cov_4.834009_fragment_1	9	1	88528	1	100	100%
TC7_NODE_10_length_516360_cov_3.910192_fragment_2_1	10	3	87235	1	100	100%
TC21_NODE_13_length_470221_cov_3.044736_fragment_2_1	10	3	40650	0	100.00%	46%
TC16_NODE_10_length_470221_cov_32.016814_fragment_2_1	10	3	40650	0	100.00%	46%
TC7_NODE_46_length_272986_cov_11.714376_fragment_1_1	11	2	83502	1	100	100%
TC21_NODE_30_length_280467_cov_3.679974_fragment_3	11	2	83257	0	100.00%	99%
TC33_NODE_3_length_1754025_cov_26.949056_fragment_4	12	1	81845	1	100	100%
TC32_NODE_64_length_374552_cov_6.854451_fragment_6	13	3	79910	1	100	100%
TC29_NODE_62_length_374518_cov_18.075963_fragment_6	13	3	79910	0	100.00%	100%
TC43_NODE_34_length_374582_cov_18.948958_fragment_1	13	3	79910	0	100.00%	100%
TC8_NODE_118_length_74115_cov_3458.954087	14	1	74115	1	100	100%
TC6_NODE_106_length_77444_cov_186.352975_1	15	1	72776	1	100	100%
TC9_NODE_87_length_201352_cov_4.769517_fragment_1	16	1	72369	1	100	100%
TC14_NODE_140_length_72295_cov_279.083721	17	1	72295	1	100	100%
TC29_NODE_25_length_637024_cov_22.825317_fragment_4_1	18	4	68897	1	100	100%
